"X","taxon_name","genus","family","leaf_length","seed_width","seed_length","plant_height","leaf_width","seed_height","leaf_area","wood_density","leaf_thickness","leaf_mass_per_area","leaf_N_per_dry_mass","seed_dry_mass","leaf_P_per_dry_mass","leaf_C_per_dry_mass","huber_value","plant_diameter_breast_height","leaf_lifespan","MAT","MAP","n_cells"
15100,"Mallotus didymochryseus","Mallotus","Euphorbiaceae",108,7,7,10,87.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15101,"Melaleuca acacioides","Melaleuca","Myrtaceae",47.5,NA,NA,5,9,NA,NA,NA,NA,NA,NA,0.337,NA,NA,NA,NA,NA,26.8844012721892,1057.2,310
15102,"Trigastrotheca molluginea","Trigastrotheca","Molluginaceae",30,NA,1.1,0.2,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15103,"Mucuna reptans","Mucuna","Fabaceae",100,8,9.5,NA,63.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8204102723495,1339.21739130435,23
15104,"Muehlenbeckia sp. Mt Brockman (L.A.Craven 2357)","Muehlenbeckia","Polygonaceae",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15105,"Myriophyllum muricatum","Myriophyllum","Haloragaceae",37.5,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.298267027911,1700.76470588235,17
15106,"Lithomyrtus retusa","Lithomyrtus","Myrtaceae",22.5,NA,4.25,3,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.0537682241864,1214.77083333333,145
15107,"Nelumbo nucifera","Nelumbo","Nelumbonaceae",44,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8358501138039,1322.57281553398,103
15108,"Neptunia sp. 'Darwin'","Neptunia","Fabaceae",5.5,3.5,3.5,0.5,1.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15109,"Omegandra kanisii","Omegandra","Amaranthaceae",1.5,0.6,0.9,0.8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0530876360442,1012.63157894737,19
15110,"Persicaria barbata","Persicaria","Polygonaceae",100,NA,NA,1,20,NA,NA,NA,NA,NA,NA,0.625,NA,NA,NA,NA,NA,24.7772869899355,1415.31034482759,87
15111,"Phyllanthus eutaxioides","Phyllanthus","Phyllanthaceae",18.5,NA,2,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0820361866671,1257.44705882353,85
15112,"Phyllanthus flagellaris","Phyllanthus","Phyllanthaceae",9,NA,2.5,NA,6.5,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,26.9181376270864,1350.13793103448,87
15113,"Phyllanthus debilis","Phyllanthus","Phyllanthaceae",8.25,NA,1,0.4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.0513650046455,1528.27777777778,36
15114,"Phyllanthus exilis","Phyllanthus","Phyllanthaceae",9.5,NA,2,0.6,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6066622635414,822.485057471264,435
15115,"Phyllanthus trachygyne","Phyllanthus","Phyllanthaceae",14,NA,2,0.6,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15116,"Phyllanthus urinaria","Phyllanthus","Phyllanthaceae",10,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9922370789926,1416.91139240506,158
15117,"Pittosporum ferrugineum subsp. ferrugineum","Pittosporum","Pittosporaceae",89,2.95,4,10,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15118,"Polycarpaea breviflora","Polycarpaea","Caryophyllaceae",18.5,NA,0.45,0.25,0.85,NA,NA,NA,NA,NA,NA,0.0386,NA,NA,NA,NA,NA,25.98532264541,703.470031545741,317
15119,"Polycarpaea holtzei","Polycarpaea","Caryophyllaceae",7,NA,0.75,0.13,NA,NA,NA,NA,NA,NA,NA,0.135,NA,NA,NA,NA,NA,26.6322488512312,831.178571428571,140
15120,"Polycarpaea incana","Polycarpaea","Caryophyllaceae",3.5,0.3,0.4,0.15,0.6,NA,NA,NA,NA,NA,NA,0.0204,NA,NA,NA,NA,NA,27.1165237426758,1101.2380952381,21
15121,"Polycarpaea involucrata","Polycarpaea","Caryophyllaceae",7.25,NA,0.4,0.2,1.6,NA,NA,NA,NA,NA,NA,0.0296,NA,NA,NA,NA,NA,25.9131405552228,730.25,193
15122,"Polycarpaea longiflora","Polycarpaea","Caryophyllaceae",28.5,0.8,NA,1,1.9,NA,NA,NA,NA,NA,NA,0.0984,NA,NA,NA,NA,NA,26.762182752392,855.377215189873,396
15123,"Polycarpaea microceps","Polycarpaea","Caryophyllaceae",5.65,NA,0.4,0.15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4439351823595,1432.61111111111,18
15124,"Polycarpaea multicaulis","Polycarpaea","Caryophyllaceae",3.25,NA,0.55,0.3,0.3,NA,NA,NA,NA,NA,NA,0.0724,NA,NA,NA,NA,NA,24.9181095607697,708.269841269841,63
15125,"Polycarpaea spirostylis","Polycarpaea","Caryophyllaceae",21.8,NA,0.6,0.5,0.75,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,25.0206083530603,900.21511627907,344
15126,"Polycarpaea staminodina","Polycarpaea","Caryophyllaceae",11,NA,0.45,0.35,1,NA,NA,NA,NA,NA,NA,0.0248,NA,NA,NA,NA,NA,27.1721493951206,1020.06896551724,29
15127,"Polycarpaea tenax","Polycarpaea","Caryophyllaceae",2.5,NA,0.4,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2524356842041,1352.23076923077,13
15128,"Polycarpaea violacea","Polycarpaea","Caryophyllaceae",14.5,0.7,NA,0.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.275711026399,1268.26086956522,116
15129,"Cullen badocanum","Cullen","Fabaceae",80.5,NA,NA,2.5,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.077343262689,1074.21965317919,175
15130,"Ptilotus corymbosus","Ptilotus","Amaranthaceae",35,NA,NA,0.6,3.5,NA,NA,NA,NA,NA,NA,0.272,NA,NA,NA,NA,NA,27.1440566328705,921.330601092896,366
15131,"Ptilotus distans","Ptilotus","Amaranthaceae",55,NA,NA,1,1.35,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,27.2268954574085,1299.45901639344,122
15132,"Ptilotus fusiformis","Ptilotus","Amaranthaceae",36,NA,NA,0.6,1,NA,NA,NA,NA,NA,NA,1.29,NA,NA,NA,NA,NA,26.4172376664555,663.935560859189,838
15133,"Pupalia micrantha","Pupalia","Amaranthaceae",56,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0489958712929,1161.84210526316,19
15134,"Pycnospora lutescens","Pycnospora","Fabaceae",28,2,4,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.101057222334,1345.30084745763,239
15135,"Rhynchosia australis","Rhynchosia","Fabaceae",36.5,3,4,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1289565544429,740.303149606299,255
15136,"Rotala diandra","Rotala","Lythraceae",8,NA,NA,0.2,6,NA,NA,NA,NA,NA,NA,0.0948,NA,NA,NA,NA,NA,26.4106773376465,782.348837209302,215
15137,"Sauropus paucifolius","Sauropus","Phyllanthaceae",42.5,NA,7,0.5,15,NA,NA,NA,NA,NA,NA,16.7,NA,NA,NA,NA,NA,27.125404066198,1393.63529411765,85
15138,"Sauropus ditassoides","Sauropus","Phyllanthaceae",19.5,NA,6,0.45,18.5,NA,NA,NA,NA,NA,NA,13.9,NA,NA,NA,NA,NA,NA,NA,NA
15139,"Sauropus glaucus","Sauropus","Phyllanthaceae",9,NA,8,0.5,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15140,"Sauropus brunonis","Sauropus","Phyllanthaceae",NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,17.3,NA,NA,NA,NA,NA,26.9679367428734,1333.42857142857,42
15141,"Sauropus ochrophyllus","Sauropus","Phyllanthaceae",27.5,NA,NA,0.7,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15142,"Synostemon glaucus","Synostemon","Phyllanthaceae",25.5,NA,7.5,0.3,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.872460713106,1251.18823529412,255
15143,"Schoutenia ovata","Schoutenia","Malvaceae",66.5,NA,NA,10,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1972223917643,1403.33333333333,3
15144,"Senna timoriensis","Senna","Fabaceae",30.5,5,6,3,10.2,NA,NA,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA,26.9726101103283,880.5,42
15145,"Sesbania erubescens","Sesbania","Fabaceae",12.5,2.2,4,3,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1731659018475,818.760869565217,46
15146,"Sesbania burbidgeae","Sesbania","Fabaceae",19.5,2,3.6,2,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2136919332105,1510.3023255814,43
15147,"Smithia conferta","Smithia","Fabaceae",9.5,1,1,1,2.5,NA,NA,NA,NA,NA,NA,0.31,NA,NA,NA,NA,NA,26.5407432865452,1506.37837837838,37
15148,"Sophora longipes","Sophora","Fabaceae",51.5,5,7,1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2643808637347,1444.28571428571,7
15149,"Stenocarpus 'Top End'","Stenocarpus","Proteaceae",102,NA,NA,20,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15150,"Suaeda arbusculoides","Suaeda","Chenopodiaceae",15,2.5,NA,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5921631579129,1083.56603773585,53
15151,"Syzygium eucalyptoides","Syzygium","Myrtaceae",112,NA,NA,18,86.5,NA,4480,NA,0.42,149,10.1,3920,0.573,NA,NA,NA,11.3,27.0801887002381,1289.88836477987,636
15152,"Tecticornia australasica","Tecticornia","Chenopodiaceae",11,NA,1.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7647639351922,1361.27027027027,74
15153,"Tecticornia halocnemoides subsp. tenuis","Tecticornia","Chenopodiaceae",5,NA,1,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15154,"Tecticornia indica subsp. julacea","Tecticornia","Chenopodiaceae",7,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15155,"Tephrosia brachyodon var. longifolia","Tephrosia","Fabaceae",42.5,2.5,4,1.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15156,"Tephrosia coriacea","Tephrosia","Fabaceae",53.5,3,4,1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.38021891096,897.955752212389,113
15157,"Tephrosia filipes","Tephrosia","Fabaceae",23.5,1.75,2.25,0.5,1.65,NA,NA,NA,NA,NA,NA,3.75,NA,NA,NA,NA,NA,23.9943058542359,990.945887445887,462
15158,"Tephrosia sp. 'Hayes Ck'","Tephrosia","Fabaceae",60.5,3.25,3.25,NA,37,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15159,"Tephrosia juncea","Tephrosia","Fabaceae",8,1.75,3.5,1,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1962658058513,1179.23106060606,267
15160,"Tephrosia sp. B Kimberley Flora (C.A.Gardner 7300)","Tephrosia","Fabaceae",32.5,2.5,3,1.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15161,"Tephrosia lamprolobioides","Tephrosia","Fabaceae",60,NA,NA,0.4,37.5,NA,NA,NA,NA,NA,NA,13.8,NA,NA,NA,NA,NA,27.1415134543803,1499.02985074627,67
15162,"Tephrosia nematophylla","Tephrosia","Fabaceae",41.5,2.1,2.6,1.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1686765436541,1362.49122807018,57
15163,"Tephrosia oblongata","Tephrosia","Fabaceae",60,2,3,3,25,NA,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA,27.0766057244663,1121.08965517241,146
15164,"Tephrosia phaeosperma","Tephrosia","Fabaceae",31,2.6,3.15,2,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1642926402928,918.989690721649,291
15165,"Tephrosia polyzyga","Tephrosia","Fabaceae",15,3.25,3.25,1,3,NA,NA,NA,NA,NA,NA,14.8,NA,NA,NA,NA,NA,27.0885064806257,1131.68571428571,247
15166,"Tephrosia porrecta","Tephrosia","Fabaceae",21.5,3,4,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.011003778588,1310.28571428571,161
15167,"Tephrosia remotiflora","Tephrosia","Fabaceae",22.5,1.9,2.6,0.8,6,NA,NA,NA,NA,NA,23.3,4.35,NA,476,NA,NA,NA,27.0714825412683,1123.36090225564,399
15168,"Tephrosia simplicifolia","Tephrosia","Fabaceae",92.5,1.9,2.1,0.5,2.35,NA,NA,NA,NA,NA,NA,3.65,NA,NA,NA,NA,NA,26.8439461032996,840.870786516854,178
15169,"Tephrosia spechtii","Tephrosia","Fabaceae",23.5,2.2,2.9,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1098997073066,1029.97744360902,133
15170,"Tephrosia subpectinata","Tephrosia","Fabaceae",19,2.25,3.25,0.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0941033058978,1014.14893617021,141
15171,"Trianthema rhynchocalyptrum","Trianthema","Aizoaceae",11.5,1.5,1.5,NA,5.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15172,"Trichosanthes morrisii","Trichosanthes","Cucurbitaceae",138,NA,NA,NA,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3042221069336,1462.22222222222,9
15173,"Triumfetta albida","Triumfetta","Malvaceae",69.5,NA,NA,1.5,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2495474326305,975.096153846154,156
15174,"Triumfetta aquila","Triumfetta","Malvaceae",65,NA,NA,2,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0887264675564,1254.25925925926,27
15175,"Triumfetta cinerea","Triumfetta","Malvaceae",75,NA,NA,1.5,17,NA,NA,NA,NA,NA,NA,44.8,NA,NA,NA,NA,NA,27.4465109507243,1395.23333333333,30
15176,"Triumfetta repens","Triumfetta","Malvaceae",31.5,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,206,NA,NA,NA,NA,NA,24.4732008576393,1475.65625,34
15177,"Triumfetta sylvicola","Triumfetta","Malvaceae",68,NA,NA,1.5,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3073863559299,1439.42222222222,45
15178,"Uraria lagopodioides","Uraria","Fabaceae",62.5,2,3,0.3,35,NA,NA,NA,NA,NA,NA,5.23,NA,NA,NA,NA,NA,26.494187710609,1100.21481481481,810
15179,"Uraria sp. Litchfield (C.R.Dunlop 5220)","Uraria","Fabaceae",110,NA,NA,0.3,6,NA,NA,NA,NA,NA,NA,5.84,NA,NA,NA,NA,NA,NA,NA,NA
15180,"Verticordia verticillata","Verticordia","Myrtaceae",20.5,NA,NA,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0845807541248,1246.03875968992,129
15181,"Vigna adenantha","Vigna","Fabaceae",92.5,6,8,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15182,"Vigna lanceolata var. filiformis","Vigna","Fabaceae",60,3.25,4.6,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15183,"Vigna vexillata var. vexillata","Vigna","Fabaceae",49,NA,NA,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15184,"Zornia acuta","Zornia","Fabaceae",28,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7352914810181,1182.5,4
15185,"Zornia areolata","Zornia","Fabaceae",16,1,1.7,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6721836450532,980.047244094488,127
15186,"Zornia chaetophora","Zornia","Fabaceae",27,NA,NA,0.7,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8061349051339,769.918367346939,49
15187,"Zornia sp. Darwin (J.S.Muspratt 186)","Zornia","Fabaceae",18.5,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15188,"Zornia disticha","Zornia","Fabaceae",14,NA,NA,0.3,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3349628448486,1809,1
15189,"Zornia muelleriana subsp. muelleriana","Zornia","Fabaceae",17.5,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15190,"Aira sp. [OReillyNugent_2018]","Aira","Poaceae",NA,NA,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15191,"Leionema hillebrandii","Leionema","Rutaceae",NA,NA,NA,4,NA,NA,132,NA,0.213,90,14.2,4.77,NA,NA,NA,NA,NA,14.2640768931462,885.769230769231,13
15192,"Brachyscome foliosa","Brachyscome","Asteraceae",NA,NA,NA,NA,NA,NA,217,NA,NA,72.6,NA,NA,NA,NA,NA,NA,NA,7.26113765136055,1439.5652173913,23
15193,"Veronica densifolia","Veronica","Plantaginaceae",NA,NA,NA,NA,NA,NA,6.89,NA,NA,91.4,NA,2.34,NA,NA,NA,NA,NA,7.56205779314041,1733.25,8
15194,"Veronica derwentiana subsp. maideniana","Veronica","Plantaginaceae",NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15195,"Dichosciadium ranunculaceum var. ranunculaceum","Dichosciadium","Apiaceae",NA,NA,NA,NA,NA,NA,411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15196,"Euphrasia collina subsp. lapidosa","Euphrasia","Scrophulariaceae",NA,NA,NA,NA,NA,NA,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15197,"Melicytus sp. [Melicytus sp. (Hymenanthera auct.); Pickering_2014]","Melicytus","Violaceae",NA,NA,NA,NA,NA,NA,27.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15198,"Oreobolus pumilio subsp. pumilio","Oreobolus","Cyperaceae",NA,NA,NA,NA,NA,NA,33.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15199,"Azorella fragosea","Azorella","Apiaceae",NA,NA,NA,NA,NA,NA,235,NA,NA,79.8,NA,2,NA,NA,NA,NA,NA,6.69107738562993,1587.57142857143,28
15200,"Stylidium sp. [Stylidium sp. (aff. graminifolium); Pickering_2014]","Stylidium","Stylidiaceae",NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15201,"Eremophila mitchelli","Eremophila","Scrophulariaceae",NA,NA,NA,NA,NA,NA,79,0.85,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15202,"Eucalyptus alaticaulis","Eucalyptus","Myrtaceae",NA,NA,NA,30,NA,NA,2860,0.831,NA,265,NA,0.945,NA,NA,NA,NA,NA,12.1907740910848,808.377777777778,45
15203,"Eucalyptus pauciflora subsp. parvifructa","Eucalyptus","Myrtaceae",NA,NA,NA,5,NA,NA,1300,0.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15204,"Eucalyptus sabulosa","Eucalyptus","Myrtaceae",NA,NA,NA,15,NA,NA,1060,0.657,NA,163,NA,0.503,NA,NA,NA,NA,NA,13.0834466781616,664.76,125
15205,"Eucalyptus silvestris","Eucalyptus","Myrtaceae",NA,NA,NA,NA,NA,NA,891,NA,NA,252,NA,0.292,NA,NA,NA,NA,NA,14.5817866325378,484.890243902439,82
15206,"Eucalyptus wimmerensis","Eucalyptus","Myrtaceae",NA,NA,NA,NA,NA,NA,389,NA,NA,319,11,0.14,NA,NA,NA,NA,NA,14.7036706816475,460.971698113208,106
15207,"Brachychiton megaphyllus","Brachychiton","Malvaceae",NA,NA,NA,NA,NA,NA,30400,NA,0.306,139,20.9,119,1.27,460,NA,NA,7,27.1720042767498,1229.87429378531,708
15208,"Astroloma epacridis","Astroloma","Ericaceae",NA,NA,NA,1.2,NA,NA,17.9,NA,0.227,211,11,NA,0.452,NA,NA,NA,NA,NA,NA,NA
15209,"Beaufortia incana","Beaufortia","Myrtaceae",NA,NA,NA,2,NA,NA,6.7,NA,0.412,167,11.2,0.496,0.364,NA,NA,NA,NA,NA,NA,NA
15210,"Boronia capitata subsp. capitata","Boronia","Rutaceae",NA,NA,NA,NA,NA,NA,9.52,NA,0.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15211,"Eremaea pauciflora var. pauciflora","Eremaea","Myrtaceae",NA,NA,NA,NA,NA,NA,5.34,NA,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15212,"Hibbertia rupicola","Hibbertia","Dilleniaceae",NA,NA,NA,0.7,NA,NA,7.73,NA,0.506,194,10.6,NA,0.42,NA,NA,NA,NA,17.2105753839016,407.55,160
15213,"Jacksonia","Jacksonia","Fabaceae",NA,NA,NA,NA,NA,NA,350,NA,0.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15214,"Leptospermum erubescens","Leptospermum","Myrtaceae",6,NA,NA,3,2.75,NA,11,NA,0.241,193,12.9,0.113,0.54,NA,NA,NA,NA,17.0492234392231,454.324263038549,441
15215,"Leucopogon blakei","Leucopogon","Ericaceae",NA,NA,NA,NA,NA,NA,9.56,NA,0.232,173,9.03,NA,0.31,NA,NA,NA,NA,NA,NA,NA
15216,"Melaleuca subtrigona","Melaleuca","Myrtaceae",NA,NA,NA,1.6,NA,NA,4.14,NA,0.536,290,8.88,0.158,0.288,NA,NA,NA,NA,16.430759026454,440.910256410256,156
15217,"Solanum oldfieldii","Solanum","Solanaceae",NA,NA,NA,1,NA,NA,385,NA,0.294,91.6,37.8,NA,1.2,NA,NA,NA,NA,19.5867629400114,386.585365853659,123
15218,"Eucalyptus diversifolia","Eucalyptus","Myrtaceae",80,NA,NA,4,17.5,NA,NA,0.737,0.52,318,8.32,18.3,NA,NA,NA,NA,NA,16.078470786605,454.478208232446,827
15219,"Eucalyptus sp. [Eucalyptus sp. (various); Roderick_1999]","Eucalyptus","Myrtaceae",NA,NA,NA,NA,NA,NA,1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15220,"Hibbertia Riparia","Hibbertia","Dilleniaceae",NA,NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15221,"Lepidosperma carphoides","Lepidosperma","Cyperaceae",22.5,NA,NA,0.6,NA,NA,NA,NA,0.65,372,6.5,NA,NA,445,NA,NA,NA,14.8824213909502,548.90756302521,1190
15222,"Lepidosperma semiteres","Lepidosperma","Cyperaceae",1.25,NA,NA,1,NA,NA,NA,NA,0.74,418,5.47,NA,NA,450,NA,NA,NA,13.7051085722906,768.708542713568,598
15223,"Schoenus sp. [Roderick_1999]","Schoenus","Cyperaceae",NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15224,"Cassinia sp. [Cassinia aff._cunninghamii; Rosell_2014]","Cassinia","Asteraceae",NA,NA,NA,NA,NA,NA,NA,0.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15225,"Prostanthera sp. [Prostanthera aff._violaceae; Rosell_2014]","Prostanthera","Lamiaceae",NA,NA,NA,NA,NA,NA,NA,0.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15226,"Micromyrtus erichsenii","Micromyrtus","Myrtaceae",1.8,0.7,1.25,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9016090035439,323.232142857143,112
15227,"Micromyrtus imbricata","Micromyrtus","Myrtaceae",2.25,0.75,0.95,1,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.811220515858,385.204545454545,44
15228,"Micromyrtus monotaxis","Micromyrtus","Myrtaceae",2.6,0.9,1.5,1.6,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2750308425338,267.814814814815,27
15229,"Micromyrtus ninghanensis","Micromyrtus","Myrtaceae",2.95,0.7,1.1,0.4,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15230,"Micromyrtus obovata","Micromyrtus","Myrtaceae",2.25,0.7,1.2,1.6,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5319307963053,334.37037037037,135
15231,"Micromyrtus papillosa","Micromyrtus","Myrtaceae",2.5,NA,NA,1.2,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5311660766602,307,1
15232,"Micromyrtus rogeri","Micromyrtus","Myrtaceae",3.75,NA,NA,0.4,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4738330841064,448,1
15233,"Micromyrtus uniovulum","Micromyrtus","Myrtaceae",3,NA,NA,0.4,1.5,NA,NA,NA,NA,NA,NA,0.909,NA,NA,NA,NA,NA,NA,NA,NA
15234,"Micromyrtus acuta","Micromyrtus","Myrtaceae",1.65,NA,NA,2,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0536670684814,292,1
15235,"Micromyrtus chrysodema","Micromyrtus","Myrtaceae",1.6,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15236,"Micromyrtus clavata","Micromyrtus","Myrtaceae",1.65,0.75,1.7,1.8,0.85,NA,NA,NA,NA,NA,NA,0.626,NA,NA,NA,NA,NA,19.9730797643247,294,23
15237,"Micromyrtus elobata","Micromyrtus","Myrtaceae",3.5,0.6,1.45,1.5,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5220822446487,464.852941176471,69
15238,"Micromyrtus navicularis","Micromyrtus","Myrtaceae",3.75,0.65,1.55,1.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
